      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -9.89400000e-01    1.46370198e-01    1.64486148e-06    1.30117436e-07
  -9.89300000e-01    1.46370198e-01    1.64485909e-06    1.30111175e-07
  -9.89200000e-01    1.46370198e-01    1.64485670e-06    1.30104914e-07
  -9.89100000e-01    1.46370198e-01    1.64485430e-06    1.30098653e-07
  -9.89000000e-01    1.46370198e-01    1.64485191e-06    1.30092391e-07
  -9.88900000e-01    1.46370198e-01    1.64484952e-06    1.30086130e-07
  -9.88800000e-01    1.46370198e-01    1.64484713e-06    1.30079869e-07
  -9.88700000e-01    1.46370198e-01    1.64484473e-06    1.30073608e-07
  -9.88600000e-01    1.46370198e-01    1.64484234e-06    1.30067347e-07
  -9.88500000e-01    1.46370198e-01    1.64483995e-06    1.30061086e-07
  -9.88400000e-01    1.46370198e-01    1.64483755e-06    1.30054825e-07
  -9.88300000e-01    1.46370198e-01    1.64483516e-06    1.30048564e-07
  -9.88200000e-01    1.46370198e-01    1.64483277e-06    1.30042303e-07
  -9.88100000e-01    1.46370198e-01    1.64483037e-06    1.30036042e-07
  -9.88000000e-01    1.46370198e-01    1.64482798e-06    1.30029781e-07
  -9.87900000e-01    1.46370198e-01    1.64482559e-06    1.30023520e-07
  -9.87800000e-01    1.46370198e-01    1.64482319e-06    1.30017259e-07
  -9.87700000e-01    1.46370198e-01    1.64482080e-06    1.30010998e-07
  -9.87600000e-01    1.46370198e-01    1.64481841e-06    1.30004737e-07
  -9.87500000e-01    1.46370198e-01    1.64481601e-06    1.29998476e-07
  -9.87400000e-01    1.46370198e-01    1.64481362e-06    1.29992215e-07
  -9.87300000e-01    1.46370198e-01    1.64481123e-06    1.29985955e-07
  -9.87200000e-01    1.46370198e-01    1.64480884e-06    1.29979694e-07
  -9.87100000e-01    1.46370198e-01    1.64480644e-06    1.29973433e-07
  -9.87000000e-01    1.46370198e-01    1.64480405e-06    1.29967172e-07
  -9.86900000e-01    1.46370198e-01    1.64480166e-06    1.29960912e-07
  -9.86800000e-01    1.46370198e-01    1.64479926e-06    1.29954651e-07
  -9.86700000e-01    1.46370198e-01    1.64479687e-06    1.29948390e-07
  -9.86600000e-01    1.46370198e-01    1.64479448e-06    1.29942130e-07
  -9.86500000e-01    1.46370198e-01    1.64479208e-06    1.29935869e-07
  -9.86400000e-01    1.46370198e-01    1.64478969e-06    1.29929608e-07
  -9.86300000e-01    1.46370198e-01    1.64478730e-06    1.29923348e-07
  -9.86200000e-01    1.46370198e-01    1.64478491e-06    1.29917087e-07
  -9.86100000e-01    1.46370198e-01    1.64478251e-06    1.29910827e-07
  -9.86000000e-01    1.46370198e-01    1.64478012e-06    1.29904566e-07
  -9.85900000e-01    1.46370198e-01    1.64477773e-06    1.29898306e-07
  -9.85800000e-01    1.46370198e-01    1.64477533e-06    1.29892045e-07
  -9.85700000e-01    1.46370198e-01    1.64477294e-06    1.29885785e-07
  -9.85600000e-01    1.46370198e-01    1.64477055e-06    1.29879524e-07
