      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -8.94000000e-02   -6.16414474e-01    1.09832094e-06   -6.21779150e-07
  -8.93000000e-02   -6.16414474e-01    1.09811599e-06   -6.21087283e-07
  -8.92000000e-02   -6.16414473e-01    1.09791117e-06   -6.20395333e-07
  -8.91000000e-02   -6.16414473e-01    1.09770648e-06   -6.19703302e-07
  -8.90000000e-02   -6.16414473e-01    1.09750193e-06   -6.19011189e-07
  -8.89000000e-02   -6.16414473e-01    1.09729752e-06   -6.18318995e-07
  -8.88000000e-02   -6.16414473e-01    1.09709323e-06   -6.17626721e-07
  -8.87000000e-02   -6.16414473e-01    1.09688909e-06   -6.16934366e-07
  -8.86000000e-02   -6.16414473e-01    1.09668508e-06   -6.16241932e-07
  -8.85000000e-02   -6.16414473e-01    1.09648121e-06   -6.15549418e-07
  -8.84000000e-02   -6.16414473e-01    1.09627747e-06   -6.14856826e-07
  -8.83000000e-02   -6.16414473e-01    1.09607387e-06   -6.14164155e-07
  -8.82000000e-02   -6.16414472e-01    1.09587041e-06   -6.13471407e-07
  -8.81000000e-02   -6.16414472e-01    1.09566708e-06   -6.12778581e-07
  -8.80000000e-02   -6.16414472e-01    1.09546390e-06   -6.12085678e-07
  -8.79000000e-02   -6.16414472e-01    1.09526085e-06   -6.11392698e-07
  -8.78000000e-02   -6.16414472e-01    1.09505794e-06   -6.10699642e-07
  -8.77000000e-02   -6.16414472e-01    1.09485516e-06   -6.10006510e-07
  -8.76000000e-02   -6.16414472e-01    1.09465253e-06   -6.09313303e-07
  -8.75000000e-02   -6.16414472e-01    1.09445004e-06   -6.08620021e-07
  -8.74000000e-02   -6.16414472e-01    1.09424768e-06   -6.07926665e-07
  -8.73000000e-02   -6.16414471e-01    1.09404547e-06   -6.07233234e-07
  -8.72000000e-02   -6.16414471e-01    1.09384340e-06   -6.06539730e-07
  -8.71000000e-02   -6.16414471e-01    1.09364147e-06   -6.05846153e-07
  -8.70000000e-02   -6.16414471e-01    1.09343967e-06   -6.05152503e-07
  -8.69000000e-02   -6.16414471e-01    1.09323802e-06   -6.04458780e-07
